"dteday","season","yr","mnth","hr","holiday","weekday","workingday","cnt","weathersit","temp","atemp","hum","windspeed"
"2011-01-01","spring",0,1,0,0,6,0,16,"ClearOrPartlyCloudy",0.24,0.2879,0.81,0
"2011-01-01","spring",0,1,1,0,6,0,40,"ClearOrPartlyCloudy",0.22,0.2727,0.8,0
"2011-01-01","spring",0,1,2,0,6,0,32,"ClearOrPartlyCloudy",0.22,0.2727,0.8,0
"2011-01-01","spring",0,1,3,0,6,0,13,"ClearOrPartlyCloudy",0.24,0.2879,0.75,0
"2011-01-01","spring",0,1,4,0,6,0,1,"ClearOrPartlyCloudy",0.24,0.2879,0.75,0
"2011-01-01","spring",0,1,5,0,6,0,1,"Misty",0.24,0.2576,0.75,0.0896
"2011-01-01","spring",0,1,6,0,6,0,2,"ClearOrPartlyCloudy",0.22,0.2727,0.8,0
"2011-01-01","spring",0,1,7,0,6,0,3,"ClearOrPartlyCloudy",0.2,0.2576,0.86,0
"2011-01-01","spring",0,1,8,0,6,0,8,"ClearOrPartlyCloudy",0.24,0.2879,0.75,0
"2011-01-01","spring",0,1,9,0,6,0,14,"ClearOrPartlyCloudy",0.32,0.3485,0.76,0
"2011-01-01","spring",0,1,10,0,6,0,36,"ClearOrPartlyCloudy",0.38,0.3939,0.76,0.2537
"2011-01-01","spring",0,1,11,0,6,0,56,"ClearOrPartlyCloudy",0.36,0.3333,0.81,0.2836
"2011-01-01","spring",0,1,12,0,6,0,84,"ClearOrPartlyCloudy",0.42,0.4242,0.77,0.2836
"2011-01-01","spring",0,1,13,0,6,0,94,"Misty",0.46,0.4545,0.72,0.2985
"2011-01-01","spring",0,1,14,0,6,0,106,"Misty",0.46,0.4545,0.72,0.2836
"2011-01-01","spring",0,1,15,0,6,0,110,"Misty",0.44,0.4394,0.77,0.2985
"2011-01-01","spring",0,1,16,0,6,0,93,"Misty",0.42,0.4242,0.82,0.2985
"2011-01-01","spring",0,1,17,0,6,0,67,"Misty",0.44,0.4394,0.82,0.2836
"2011-01-01","spring",0,1,18,0,6,0,35,"LightSnowOrRain",0.42,0.4242,0.88,0.2537
"2011-01-01","spring",0,1,19,0,6,0,37,"LightSnowOrRain",0.42,0.4242,0.88,0.2537
"2011-01-01","spring",0,1,20,0,6,0,36,"Misty",0.4,0.4091,0.87,0.2537
"2011-01-01","spring",0,1,21,0,6,0,34,"Misty",0.4,0.4091,0.87,0.194
"2011-01-01","spring",0,1,22,0,6,0,28,"Misty",0.4,0.4091,0.94,0.2239
"2011-01-01","spring",0,1,23,0,6,0,39,"Misty",0.46,0.4545,0.88,0.2985
"2011-01-02","spring",0,1,0,0,0,0,17,"Misty",0.46,0.4545,0.88,0.2985
"2011-01-02","spring",0,1,1,0,0,0,17,"Misty",0.44,0.4394,0.94,0.2537
"2011-01-02","spring",0,1,2,0,0,0,9,"Misty",0.42,0.4242,1,0.2836
"2011-01-02","spring",0,1,3,0,0,0,6,"Misty",0.46,0.4545,0.94,0.194
"2011-01-02","spring",0,1,4,0,0,0,3,"Misty",0.46,0.4545,0.94,0.194
"2011-01-02","spring",0,1,6,0,0,0,2,"LightSnowOrRain",0.42,0.4242,0.77,0.2985
"2011-01-02","spring",0,1,7,0,0,0,1,"Misty",0.4,0.4091,0.76,0.194
"2011-01-02","spring",0,1,8,0,0,0,8,"LightSnowOrRain",0.4,0.4091,0.71,0.2239
"2011-01-02","spring",0,1,9,0,0,0,20,"Misty",0.38,0.3939,0.76,0.2239
"2011-01-02","spring",0,1,10,0,0,0,53,"Misty",0.36,0.3485,0.81,0.2239
"2011-01-02","spring",0,1,11,0,0,0,70,"Misty",0.36,0.3333,0.71,0.2537
"2011-01-02","spring",0,1,12,0,0,0,93,"Misty",0.36,0.3333,0.66,0.2985
"2011-01-02","spring",0,1,13,0,0,0,75,"Misty",0.36,0.3485,0.66,0.1343
"2011-01-02","spring",0,1,14,0,0,0,59,"LightSnowOrRain",0.36,0.3485,0.76,0.194
"2011-01-02","spring",0,1,15,0,0,0,74,"LightSnowOrRain",0.34,0.3333,0.81,0.1642
"2011-01-02","spring",0,1,16,0,0,0,76,"LightSnowOrRain",0.34,0.3333,0.71,0.1642
"2011-01-02","spring",0,1,17,0,0,0,65,"ClearOrPartlyCloudy",0.34,0.3333,0.57,0.194
"2011-01-02","spring",0,1,18,0,0,0,53,"Misty",0.36,0.3333,0.46,0.3284
"2011-01-02","spring",0,1,19,0,0,0,30,"ClearOrPartlyCloudy",0.32,0.2879,0.42,0.4478
"2011-01-02","spring",0,1,20,0,0,0,22,"ClearOrPartlyCloudy",0.3,0.2727,0.39,0.3582
"2011-01-02","spring",0,1,21,0,0,0,31,"ClearOrPartlyCloudy",0.26,0.2273,0.44,0.3284
"2011-01-02","spring",0,1,22,0,0,0,9,"ClearOrPartlyCloudy",0.24,0.2121,0.44,0.2985
"2011-01-02","spring",0,1,23,0,0,0,8,"ClearOrPartlyCloudy",0.22,0.2273,0.47,0.1642
"2011-01-03","spring",0,1,0,0,1,1,5,"ClearOrPartlyCloudy",0.22,0.197,0.44,0.3582
"2011-01-03","spring",0,1,1,0,1,1,2,"ClearOrPartlyCloudy",0.2,0.1667,0.44,0.4179
"2011-01-03","spring",0,1,4,0,1,1,1,"ClearOrPartlyCloudy",0.16,0.1364,0.47,0.3881
"2011-01-03","spring",0,1,5,0,1,1,3,"ClearOrPartlyCloudy",0.16,0.1364,0.47,0.2836
"2011-01-03","spring",0,1,6,0,1,1,30,"ClearOrPartlyCloudy",0.14,0.1061,0.5,0.3881
"2011-01-03","spring",0,1,7,0,1,1,64,"ClearOrPartlyCloudy",0.14,0.1364,0.5,0.194
"2011-01-03","spring",0,1,8,0,1,1,154,"ClearOrPartlyCloudy",0.14,0.1212,0.5,0.2836
"2011-01-03","spring",0,1,9,0,1,1,88,"ClearOrPartlyCloudy",0.16,0.1364,0.43,0.3881
"2011-01-03","spring",0,1,10,0,1,1,44,"ClearOrPartlyCloudy",0.18,0.1667,0.43,0.2537
"2011-01-03","spring",0,1,11,0,1,1,51,"ClearOrPartlyCloudy",0.2,0.1818,0.4,0.3284
"2011-01-03","spring",0,1,12,0,1,1,61,"ClearOrPartlyCloudy",0.22,0.2121,0.35,0.2985
"2011-01-03","spring",0,1,13,0,1,1,61,"ClearOrPartlyCloudy",0.24,0.2121,0.35,0.2836
"2011-01-03","spring",0,1,14,0,1,1,77,"ClearOrPartlyCloudy",0.26,0.2424,0.3,0.2836
"2011-01-03","spring",0,1,15,0,1,1,72,"ClearOrPartlyCloudy",0.26,0.2424,0.3,0.2537
"2011-01-03","spring",0,1,16,0,1,1,76,"ClearOrPartlyCloudy",0.26,0.2424,0.3,0.2537
"2011-01-03","spring",0,1,17,0,1,1,157,"ClearOrPartlyCloudy",0.24,0.2273,0.3,0.2239
"2011-01-03","spring",0,1,18,0,1,1,157,"ClearOrPartlyCloudy",0.24,0.2576,0.32,0.1045
"2011-01-03","spring",0,1,19,0,1,1,110,"ClearOrPartlyCloudy",0.2,0.2576,0.47,0
"2011-01-03","spring",0,1,20,0,1,1,52,"ClearOrPartlyCloudy",0.2,0.2273,0.47,0.1045
"2011-01-03","spring",0,1,21,0,1,1,52,"ClearOrPartlyCloudy",0.18,0.197,0.64,0.1343
"2011-01-03","spring",0,1,22,0,1,1,20,"ClearOrPartlyCloudy",0.14,0.1515,0.69,0.1343
"2011-01-03","spring",0,1,23,0,1,1,12,"ClearOrPartlyCloudy",0.18,0.2121,0.55,0.1045
"2011-01-04","spring",0,1,0,0,2,1,5,"ClearOrPartlyCloudy",0.16,0.1818,0.55,0.1045
"2011-01-04","spring",0,1,1,0,2,1,2,"ClearOrPartlyCloudy",0.16,0.1818,0.59,0.1045
"2011-01-04","spring",0,1,2,0,2,1,1,"ClearOrPartlyCloudy",0.14,0.1515,0.63,0.1343
